method,jpf_pass,violation_type,counterexample,instructions,states_new,states_end,depth,timeout,notes
CompareArray.arrcmp,false,exit_code_-9,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_CompareArray.main()\n\n====================================================== search started: 4/21/26, 7:33 PM\n",,,,,true,pass_kind=n/a; entry=arrcmp; wall_timeout_s=30.0
ComputeArea,false,skipped,,,,,,false,no_rac_class
ComputeAreaBranch,false,skipped,,,,,,false,no_rac_class
ComputeOverlap.computeOverlapArea,false,exit_code_-9,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_ComputeOverlap.main()\n\n====================================================== search started: 4/21/26, 7:33 PM\n",,,,,true,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0
ComputeOverlapBranch.computeOverlapArea,false,exit_code_-9,"        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/ComputeOverlapBranch/ComputeOverlapBranch.java:8: verify: JML postcondition is false\n    public int computeOverlapArea(int ax1, int ay1, int ax2, int ay2, int bx1, int by1, int bx2, int by2) {\n               ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/ComputeOverlapBranch/ComputeOverlapBranch.java:5: verify: Associated declaration: /Users/tiancheng/Documents/Software Validation/verification-project...",,,,,true,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0
Conjunction.conjunctOf,true,,,9599,4,4,3,false,pass_kind=A; entry=conjunctOf
ContainsDuplicate,false,skipped,,,,,,false,no_rac_class
ConvertTemperature.convertTemperature,true,,,10184,2,5,2,false,pass_kind=A; entry=convertTemperature
ConvertToFahrenheit.convertTemperature,true,,,9844,2,5,2,false,pass_kind=A; entry=convertTemperature
ConvertToKelvin.convertTemperature,true,,,9804,2,5,2,false,pass_kind=A; entry=convertTemperature
ConvertToTitle.convertToTitle,true,,,19862,4,9,2,false,pass_kind=A; entry=convertToTitle
CopyArray.CopyArray,false,NoUncaughtExceptionsProperty,"        ^\n\n====================================================== error 53729\ngov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArrayIndexOutOfBoundsException: -2\n	at CopyArray.CopyArray(CopyArray.java:14)\n	at Harness_CopyArray.main(Harness_CopyArray.java:17)\n\n\n====================================================== trace #53729\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread:...",,,,,true,pass_kind=n/a; entry=CopyArray; wall_timeout_s=30.0
DigitRoot.digitRoot,true,,,13062,3,9,2,false,pass_kind=A; entry=digitRoot
Disjunction.disjunctOf,true,,,9605,4,4,3,false,pass_kind=A; entry=disjunctOf
DivisorGame.divisorGame,true,,,10574,2,9,2,false,pass_kind=A; entry=divisorGame
DominantIndex.dominantIndex,true,,,11709393,469,2801,5,false,pass_kind=A; entry=dominantIndex
EchoIntLoop.echo,true,,,15023,3,9,2,false,pass_kind=A; entry=echo
Fibonacci,false,skipped,,,,,,false,no_rac_class
FindClosestNum.findClosestNumber,true,,,14266807,469,2801,5,false,pass_kind=A; entry=findClosestNumber
FindFirstZero.FindFirstZero,true,,,3791429,468,2801,5,false,pass_kind=A; entry=FindFirstZero
FizzBuzz.fizzBuzz,true,,,11531,2,9,2,false,pass_kind=A; entry=fizzBuzz
FizzBuzzSeq.fizzBuzz,true,,,13128,2,9,2,false,pass_kind=A; entry=fizzBuzz
GCD.gcd,true,,,121661,11,81,3,false,pass_kind=A; entry=gcd
IntCube.cubeOf,true,,,166172,2,9,2,false,pass_kind=A; entry=cubeOf
IntSquare.squareOf,true,,,38599,2,9,2,false,pass_kind=A; entry=squareOf
Inverse.Inverse,false,JavaException,java.lang.ArrayIndexOutOfBoundsException: 2\n	at Inverse.Inverse(Inverse.java:5)\n	at Harness_Inverse.main(Harness_Inverse.java:15)\nRuntime exception while evaluating postconditions - postconditions are undefined in JML\njava.lang.ArrayIndexOutOfBoundsException: 2\n	at Inverse.Inverse(Inverse.java:5)\n	at Harness_Inverse.main(Harness_Inverse.java:15)\nRuntime exception while evaluating postconditions - postconditions are undefined in JML\njava.lang.ArrayIndexOutOfBoundsException: 2\n	at Inverse.Inverse(Inverse.java:5)\n	at Harness_Inverse.main(Harness_Inverse.java:15)\nRuntime exception while evaluat...,,,,,true,pass_kind=n/a; entry=Inverse; wall_timeout_s=30.0
IsAllUnique.isAllUnique,true,,,2009567,33,703,4,false,pass_kind=A; entry=isAllUnique
IsAscending.isAscending,false,NoUncaughtExceptionsProperty,"      [17 insn w/o sources]\n------------------------------------------------------ transition #2 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-3..3,delta=+1,cur=-1]\n      [14 insn w/o sources]\n------------------------------------------------------ transition #3 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-3..3,delta=+1,cur=0]\n      [14 insn w/o sources]\n------------------------------------------------------ transition #4 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)""...",1847035,469,2801,5,false,pass_kind=n/a; entry=isAscending
IsBoomerang,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at IsCommonFactor.isCommonFactor(IsCommonFactor.java:5)\n	at Harness_IsCommonFactor.main(Harness_IsCommonFactor.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""veri...",208673,93,729,4,false,pass_kind=n/a; entry=isCommonFactor
IsCommonFactorBranch.isCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at IsCommonFactorBranch.isCommonFactor(IsCommonFactorBranch.java:5)\n	at Harness_IsCommonFactorBranch.main(Harness_IsCommonFactorBranch.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIn...",210265,93,729,4,false,pass_kind=n/a; entry=isCommonFactor
IsCommonMultiple.isCommonMultiple,false,NoUncaughtExceptionsProperty,      [450 insn w/o sources]\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsCommonMultiple/IsCommonMultiple.java:2: verify: JML precondition is false\n    //@ requires a != 0 && b != 0;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsCommonMultiple/IsCommonMultiple.java:2: verify: JML precondition is false\n    //@ requires a != 0 && b != 0;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stag...,224819,94,729,4,false,pass_kind=n/a; entry=isCommonMultiple
IsCommonMultipleBranch.isCommonMultiple,false,NoUncaughtExceptionsProperty,      [451 insn w/o sources]\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsCommonMultipleBranch/IsCommonMultipleBranch.java:2: verify: JML precondition is false\n    //@ requires a != 0 && b != 0;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsCommonMultipleBranch/IsCommonMultipleBranch.java:2: verify: JML precondition is false\n    //@ requires a != 0 && b != 0;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experi...,226331,94,729,4,false,pass_kind=n/a; entry=isCommonMultiple
IsDescending.isDescending,false,NoUncaughtExceptionsProperty,"      [17 insn w/o sources]\n------------------------------------------------------ transition #2 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-3..3,delta=+1,cur=3]\n      [14 insn w/o sources]\n------------------------------------------------------ transition #3 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-3..3,delta=+1,cur=2]\n      [14 insn w/o sources]\n------------------------------------------------------ transition #4 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",...",1847035,469,2801,5,false,pass_kind=n/a; entry=isDescending
IsMonotonic.isMonotonic,true,,,5112626,469,2801,5,false,pass_kind=A; entry=isMonotonic
IsOneBitCharacter.isOneBitCharacter,false,NoUncaughtExceptionsProperty,            ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsOneBitCharacter/IsOneBitCharacter.java:8: verify: JML loop variant does not decrease\n        //@ decreases n - 1 - i;\n            ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsOneBitCharacter/IsOneBitCharacter.java:8: verify: JML loop variant does not decrease\n        //@ decreases n - 1 - i;\n            ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrout...,,,,,true,pass_kind=n/a; entry=isOneBitCharacter; wall_timeout_s=30.0
IsPalindrome.isPalindrome,true,,,646899,31,703,3,false,pass_kind=A; entry=isPalindrome
IsPrefix.isPrefix,false,exit_code_-9,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_IsPrefix.main()\n\n====================================================== search started: 4/21/26, 7:36 PM\n",,,,,true,pass_kind=n/a; entry=isPrefix; wall_timeout_s=30.0
IsSubsequence.isSubsequence,false,exit_code_-9,"        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsSubsequence/IsSubsequence.java:4: verify: JML postcondition is false\n    public boolean isSubsequence(String s, String t) {\n                   ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsSubsequence/IsSubsequence.java:3: verify: Associated declaration: /Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/IsSubsequence/IsSubsequence.ja...",,,,,true,pass_kind=n/a; entry=isSubsequence; wall_timeout_s=30.0
IsSuffix.isSuffix,false,JavaException,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_IsSuffix.main()\n\n====================================================== search started: 4/21/26, 7:37 PM\n[SEVERE] JPF exception, terminating: exception in native method java.lang.String.charAt\n\njava.lang.StringIndexOutOfBoundsException: String index out of range: -1\n	at java.base/java.lang.StringLatin1.charAt(StringLatin1.java:47)\n	at java.base/java.lang.String.charAt(S...",,,,,false,pass_kind=n/a; entry=isSuffix
JewelsInStones,false,skipped,,,,,,false,no_rac_class
LCM.lcm,true,,,68291,11,81,3,false,pass_kind=A; entry=lcm
LargestPerimeter,false,skipped,,,,,,false,no_rac_class
LeapYear.isLeapYear,true,,,11096,2,9,2,false,pass_kind=A; entry=isLeapYear
LeapYearSeq.isLeapYear,true,,,10916,2,9,2,false,pass_kind=A; entry=isLeapYear
LinearSearch.linearSearch,true,,,53604246,4213,25209,7,false,pass_kind=A; entry=linearSearch
MatrixAdd,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
MatrixMul,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
MaxInArray.maxElementInArray,true,,,4767362,469,2801,5,false,pass_kind=A; entry=maxElementInArray
MinInArray.minElementInArray,true,,,6017540,469,2801,5,false,pass_kind=A; entry=minElementInArray
MoveZeroes.moveZeroes,true,,,14418806,468,2801,5,false,pass_kind=A; entry=moveZeroes
MulLoop.mulLoop,true,,,91501,11,81,3,false,pass_kind=A; entry=mulLoop
MulNested.mulNested,true,,,239803,11,81,3,false,pass_kind=A; entry=mulNested
MyPower.power,true,,,77263,12,81,3,false,pass_kind=A; entry=power
MySqrt.mySqrt,true,,,26494,4,9,2,false,pass_kind=A; entry=mySqrt
NegAbs.negAbs,true,,,10726,2,9,2,false,pass_kind=A; entry=negAbs
NextGreaterElem.nextGreaterElement,false,exit_code_-9,                ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/NextGreaterElem/NextGreaterElem.java:31: verify: JML assumed loop invariant is false at beginning of loop body\n            //@ maintaining j + 1 <= k && k <= n;\n                ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/NextGreaterElem/NextGreaterElem.java:31: verify: JML loop invariant is false after exiting loop\n            //@ maintaining j + 1 <= k && k <= n;\n                ^\n/Users/t...,,,,,true,pass_kind=n/a; entry=nextGreaterElement; wall_timeout_s=30.0
NotCommonFactor.notCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at NotCommonFactor.notCommonFactor(NotCommonFactor.java:5)\n	at Harness_NotCommonFactor.main(Harness_NotCommonFactor.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=...",208185,93,729,4,false,pass_kind=n/a; entry=notCommonFactor
NotCommonFactorBranch.notCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at NotCommonFactorBranch.notCommonFactor(NotCommonFactorBranch.java:5)\n	at Harness_NotCommonFactorBranch.main(Harness_NotCommonFactorBranch.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice....",210057,93,729,4,false,pass_kind=n/a; entry=notCommonFactor
NotCommonMultiple.NotCommonMultiple,false,NoUncaughtExceptionsProperty,      [449 insn w/o sources]\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/NotCommonMultiple/NotCommonMultiple.java:2: verify: JML precondition is false\n    //@ requires a != 0 && b != 0;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/NotCommonMultiple/NotCommonMultiple.java:2: verify: JML precondition is false\n    //@ requires a != 0 && b != 0;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/...,224459,94,729,4,false,pass_kind=n/a; entry=NotCommonMultiple
NumberOfCuts.numberOfCuts,true,,,12477,3,9,2,false,pass_kind=A; entry=numberOfCuts
NumberOfCutsSeq.numberOfCuts,true,,,11581,2,9,2,false,pass_kind=A; entry=numberOfCuts
OddEven.isEven,true,,,10574,2,9,2,false,pass_kind=A; entry=isEven
PassPillow.passPillow,false,NoUncaughtExceptionsProperty,"	at Harness_PassPillow.main(Harness_PassPillow.java:7)\n\n\n====================================================== trace #9\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-4..4,delta=+1,cur=1]\n      [7 insn w/o sources]\n------------------------------------------------------ transition #2 thread: 0\n...",47926,14,81,3,false,pass_kind=n/a; entry=passPillow
PassPillowBranch.passPillow,false,NoUncaughtExceptionsProperty,"====================================================== trace #8\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-4..4,delta=+1,cur=1]\n      [7 insn w/o sources]\n------------------------------------------------------ transition #2 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGet...",44788,13,81,3,false,pass_kind=n/a; entry=passPillow
Perimeter.Perimeter,true,,,10735,2,9,2,false,pass_kind=A; entry=Perimeter
PowerOfFour.isPowerOfFour,true,,,10823,2,9,2,false,pass_kind=A; entry=isPowerOfFour
PowerOfFourBranch.isPowerOfFour,true,,,13236,3,9,2,false,pass_kind=A; entry=isPowerOfFour
PowerOfFourLoop.isPowerOfFour,true,,,12137,3,9,2,false,pass_kind=A; entry=isPowerOfFour
PowerOfThree.isPowerOfThree,true,,,14037,4,9,2,false,pass_kind=A; entry=isPowerOfThree
PowerOfTwo.isPowerOfTwo,true,,,10768,2,9,2,false,pass_kind=A; entry=isPowerOfTwo
PowerOfTwoBranch.isPowerOfTwo,true,,,14814,2,9,2,false,pass_kind=A; entry=isPowerOfTwo
PowerOfTwoLoop.isPowerOfTwo,true,,,13154,3,9,2,false,pass_kind=A; entry=isPowerOfTwo
PrimeCheck.isPrime,true,,,16741,4,9,2,false,pass_kind=A; entry=isPrime
PrimeNumbers.primeList,false,NoUncaughtExceptionsProperty,"      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-4..4,delta=+1,cur=-2]\n      [506 insn w/o sources]\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/PrimeNumbers/PrimeNumbers.java:8: verify: JML non-null field is null\n    private  int primeArray[];\n                 ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/PrimeN...",32321,6,9,2,false,pass_kind=n/a; entry=primeList
ReLU.computeReLU,true,,,9747,2,5,2,false,pass_kind=A; entry=computeReLU
ReLUSeq.computeReLU,true,,,9907,2,5,2,false,pass_kind=A; entry=computeReLU
RepeatedChar,false,skipped,,,,,,false,no_rac_class
RepeatedCharNested.repeatedChar,true,,,2598512,33,703,4,false,pass_kind=A; entry=repeatedChar
RepeatedNumNested.repeatedNum,true,,,9710571,475,2801,6,false,pass_kind=A; entry=repeatedNum
Return100.return100,true,,,24632,1,1,1,false,pass_kind=B; entry=return100
Return100Nested.return100,true,,,36787,1,1,1,false,pass_kind=B; entry=return100
ReverseArray.reverse,true,,,8633355,468,2801,5,false,pass_kind=A; entry=reverse
ReverseString,false,skipped,,,,,,false,no_rac_class
RotateArray,false,skipped,,,,,,false,no_rac_class
SelectionSort.selectionSort,true,,,17860288,469,2801,5,false,pass_kind=A; entry=selectionSort
SelectionSortDesc.selectionSort,true,,,16486426,469,2801,5,false,pass_kind=A; entry=selectionSort
SetZero.SetZero,false,NoUncaughtExceptionsProperty,"      [7 insn w/o sources]\n------------------------------------------------------ transition #7 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-4..4,delta=+1,cur=-2]\n      [489 insn w/o sources]\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/SetZero/SetZero.java:3: verify: JML precondition is false\n	//@ requires a != null;\n	    ^\n\n====================================================== error 50151\ngov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArrayIndexOutOfBoundsExceptio...",,,,,true,pass_kind=n/a; entry=SetZero; wall_timeout_s=30.0
Smallest.Smallest,true,,,5568883,468,2801,5,false,pass_kind=A; entry=Smallest
SmallestEvenMul.smallestEvenMultiple,true,,,11756,2,9,2,false,pass_kind=A; entry=smallestEvenMultiple
SmallestEvenMulBranch.smallestEvenMultiple,true,,,11609,3,9,2,false,pass_kind=A; entry=smallestEvenMultiple
SolveQuadraticEquation.solve,true,,,547621,93,729,4,false,pass_kind=A; entry=solve
SortLibrary,false,skipped,,,,,,false,no_rac_class
StrPalindrome.isPalindrome,false,NoUncaughtExceptionsProperty,"====================================================== trace #701\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,0..2,delta=+1,cur=2]\n      [17 insn w/o sources]\n------------------------------------------------------ transition #2 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyG...",3801479,31,703,3,false,pass_kind=n/a; entry=isPalindrome
SubLoop.subLoop,true,,,108259,15,81,3,false,pass_kind=A; entry=subLoop
Swap.swap,false,exit_code_-9,        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/Swap/Swap.java:2: verify: JML precondition is false\n    //@ requires arr != null;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/Swap/Swap.java:2: verify: JML precondition is false\n    //@ requires arr != null;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/Swap/Swap.java:2: verify: JML precondition is false\n    //@ r...,,,,,true,pass_kind=n/a; entry=swap; wall_timeout_s=30.0
Temperatures.convertTemperature,true,,,10294,2,5,2,false,pass_kind=A; entry=convertTemperature
ThreeConsecutiveOdds.threeConsecutiveOdds,true,,,2684861,470,2801,5,false,pass_kind=A; entry=threeConsecutiveOdds
TransposeMatrix,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
TwoSum.twoSum,true,,,118826246,3276,25209,7,false,pass_kind=A; entry=twoSum
UglyNum.isUgly,true,,,16458,3,9,2,false,pass_kind=A; entry=isUgly
UglyNumLoop.isUgly,true,,,15195,3,9,2,false,pass_kind=A; entry=isUgly
UniqueCharNested.uniqueChar,true,,,1515061,31,703,3,false,pass_kind=A; entry=uniqueChar
UniqueNumNested.uniqueNum,true,,,7273087,468,2801,5,false,pass_kind=A; entry=uniqueNum
XOR.xor,true,,,9624,4,4,3,false,pass_kind=A; entry=xor
