benchmark,few_shot__MiniMaxAI_MiniMax-M2.7__method,few_shot__MiniMaxAI_MiniMax-M2.7__jpf_pass,few_shot__MiniMaxAI_MiniMax-M2.7__violation_type,few_shot__MiniMaxAI_MiniMax-M2.7__timeout,few_shot__MiniMaxAI_MiniMax-M2.7__pass_kind,few_shot__MiniMaxAI_MiniMax-M2.7__instructions,few_shot__MiniMaxAI_MiniMax-M2.7__states_new,few_shot__MiniMaxAI_MiniMax-M2.7__states_end,few_shot__MiniMaxAI_MiniMax-M2.7__depth,few_shot__MiniMaxAI_MiniMax-M2.7__notes,few_shot__Qwen_Qwen3-Coder-Next-FP8__method,few_shot__Qwen_Qwen3-Coder-Next-FP8__jpf_pass,few_shot__Qwen_Qwen3-Coder-Next-FP8__violation_type,few_shot__Qwen_Qwen3-Coder-Next-FP8__timeout,few_shot__Qwen_Qwen3-Coder-Next-FP8__pass_kind,few_shot__Qwen_Qwen3-Coder-Next-FP8__instructions,few_shot__Qwen_Qwen3-Coder-Next-FP8__states_new,few_shot__Qwen_Qwen3-Coder-Next-FP8__states_end,few_shot__Qwen_Qwen3-Coder-Next-FP8__depth,few_shot__Qwen_Qwen3-Coder-Next-FP8__notes,zero_shot__MiniMaxAI_MiniMax-M2.7__method,zero_shot__MiniMaxAI_MiniMax-M2.7__jpf_pass,zero_shot__MiniMaxAI_MiniMax-M2.7__violation_type,zero_shot__MiniMaxAI_MiniMax-M2.7__timeout,zero_shot__MiniMaxAI_MiniMax-M2.7__pass_kind,zero_shot__MiniMaxAI_MiniMax-M2.7__instructions,zero_shot__MiniMaxAI_MiniMax-M2.7__states_new,zero_shot__MiniMaxAI_MiniMax-M2.7__states_end,zero_shot__MiniMaxAI_MiniMax-M2.7__depth,zero_shot__MiniMaxAI_MiniMax-M2.7__notes,zero_shot__Qwen_Qwen3-Coder-Next-FP8__method,zero_shot__Qwen_Qwen3-Coder-Next-FP8__jpf_pass,zero_shot__Qwen_Qwen3-Coder-Next-FP8__violation_type,zero_shot__Qwen_Qwen3-Coder-Next-FP8__timeout,zero_shot__Qwen_Qwen3-Coder-Next-FP8__pass_kind,zero_shot__Qwen_Qwen3-Coder-Next-FP8__instructions,zero_shot__Qwen_Qwen3-Coder-Next-FP8__states_new,zero_shot__Qwen_Qwen3-Coder-Next-FP8__states_end,zero_shot__Qwen_Qwen3-Coder-Next-FP8__depth,zero_shot__Qwen_Qwen3-Coder-Next-FP8__notes
JewelsInStones,JewelsInStones.numJewelsInStones,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=numJewelsInStones; wall_timeout_s=30.0,JewelsInStones.numJewelsInStones,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=numJewelsInStones; wall_timeout_s=30.0,JewelsInStones.numJewelsInStones,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=numJewelsInStones; wall_timeout_s=30.0,JewelsInStones,false,skipped,false,,,,,,no_rac_class
LCM,LCM,false,skipped,false,,,,,,no_rac_class,LCM.lcm,true,,false,A,207495,12,81,3,pass_kind=A; entry=lcm,LCM,false,skipped,false,,,,,,no_rac_class,LCM.lcm,true,,false,A,52444,11,81,3,pass_kind=A; entry=lcm
LargestPerimeter,LargestPerimeter.largestPerimeter,true,,false,A,6986959,468,2801,5,pass_kind=A; entry=largestPerimeter,LargestPerimeter,false,skipped,false,,,,,,no_rac_class,LargestPerimeter.largestPerimeter,true,,false,A,10888283,469,2801,5,pass_kind=A; entry=largestPerimeter,LargestPerimeter,false,skipped,false,,,,,,no_rac_class
LeapYear,LeapYear.isLeapYear,true,,false,A,10934,2,9,2,pass_kind=A; entry=isLeapYear,LeapYear.isLeapYear,true,,false,A,10952,2,9,2,pass_kind=A; entry=isLeapYear,LeapYear.isLeapYear,true,,false,A,10458,2,9,2,pass_kind=A; entry=isLeapYear,LeapYear,false,skipped,false,,,,,,no_rac_class
LeapYearSeq,LeapYearSeq.isLeapYear,true,,false,A,10898,2,9,2,pass_kind=A; entry=isLeapYear,LeapYearSeq.isLeapYear,true,,false,A,10916,2,9,2,pass_kind=A; entry=isLeapYear,LeapYearSeq.isLeapYear,true,,false,A,12075,3,9,2,pass_kind=A; entry=isLeapYear,LeapYearSeq,false,skipped,false,,,,,,no_rac_class
LinearSearch,LinearSearch.linearSearch,true,,false,A,72460457,4213,25209,7,pass_kind=A; entry=linearSearch,LinearSearch.linearSearch,true,,false,A,37519940,4209,25209,7,pass_kind=A; entry=linearSearch,LinearSearch,false,skipped,false,,,,,,no_rac_class,LinearSearch,false,skipped,false,,,,,,no_rac_class
MatrixAdd,MatrixAdd,false,skipped,false,,,,,,no_rac_class,MatrixAdd,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixAdd,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixAdd,false,skipped,false,,,,,,no_rac_class
MatrixMul,MatrixMul,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixMul,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixMul,false,skipped,false,,,,,,no_rac_class,MatrixMul,false,skipped,false,,,,,,no_rac_class
MaxInArray,MaxInArray.maxElementInArray,true,,false,A,1113913,468,2801,5,pass_kind=A; entry=maxElementInArray,MaxInArray.maxElementInArray,true,,false,A,7156948,470,2801,5,pass_kind=A; entry=maxElementInArray,MaxInArray,false,skipped,false,,,,,,no_rac_class,MaxInArray,false,skipped,false,,,,,,no_rac_class
MinInArray,MinInArray.minElementInArray,true,,false,A,1082917,468,2801,5,pass_kind=A; entry=minElementInArray,MinInArray.minElementInArray,true,,false,A,4959784,469,2801,5,pass_kind=A; entry=minElementInArray,MinInArray.minElementInArray,true,,false,A,1082917,468,2801,5,pass_kind=A; entry=minElementInArray,MinInArray,false,skipped,false,,,,,,no_rac_class
MoveZeroes,MoveZeroes,false,skipped,false,,,,,,no_rac_class,MoveZeroes.moveZeroes,true,,false,A,13686908,475,2801,6,pass_kind=A; entry=moveZeroes,MoveZeroes.moveZeroes,true,,false,A,19063607,479,2801,6,pass_kind=A; entry=moveZeroes,MoveZeroes,false,skipped,false,,,,,,no_rac_class
